time,year,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48
1,1975,39.1,39.5,51.4,64.1,51.6,57.2,96.3,96.7,73.5,58.2,65.1,97.3,77.9,97.7,66.2,97.7,69.1,98.3,97.7,98.7,97.7,81.8,97.8,101.2,98.7,88.2,98.7,97.7,99.5,92.7,119.4,102.6,119.9,98.7,131.5,124.7,110.5,126.2,155,149.2,114,122.2,124.7,157.9,158.9,159.3,157.9,124.7
2,1976,46.3,49.6,58.1,60,55.1,61,65.7,73.6,74.9,72.7,83.9,62.2,88.4,78.3,72.9,108.5,108.5,79,83.9,108.7,105.7,89.8,103.9,108.5,108.5,88.4,104,89.8,110,80.1,110,108.9,108.9,108.9,110,97.8,106.7,92.4,110.2,109.7,110.4,110.2,110.2,110.4,109.7,104.1,110.4,110.2
3,1977,37.6,47,58.5,58.5,58.5,58.5,63,65,73.6,76.1,71.1,77.7,73.6,71.2,80.2,80.8,80.2,81.6,92.2,81.9,65,80,92.2,81.6,70.5,81.6,100,100,71.2,81.7,100,81.7,73.2,100,81.6,81.7,73.6,92.2,100.1,99.7,81.7,73.2,85.7,100,102.1,92.2,102.1,100.1
4,1978,33.2,46.8,53.5,52.2,65.4,70.2,81.9,85.7,73.1,71.6,83.3,77.6,85.1,95.4,107.9,87.6,116.3,89.8,117.8,118,118.1,118.1,78.4,118.1,118.1,85.4,89.8,119.2,119.1,120.2,116.3,118.2,118.2,116.3,126.1,108.3,117.8,117.8,94.7,131.1,118.2,122.9,138.8,121.7,120.3,132.1,133.1,132.1
5,1979,43,56.5,68.1,85.7,104.6,107.1,93.6,114.1,114.3,113.5,120,120,114.5,120.8,113.5,120,147.7,114.9,145.8,131.2,124.4,120.5,140.1,120,121.3,148,148,121.3,150.7,113.5,148,135.6,138.7,148,163.4,148,149.3,149.3,148,163.4,123.5,163.4,151.5,131.7,148.4,158.3,148.4,142
6,1980,56,102.3,108.9,155.2,192.6,155.2,195.3,213.3,195.3,216.8,155.2,155.2,213.3,195.3,216.8,217,217,217,109.8,217,217,156.7,217,217,217,214.8,197.3,217,217,218.8,218.5,218.5,193.6,218.5,218.5,219,193.9,218.5,217.8,217.8,217.8,217.8,220.6,193.9,219,217.8,252,255.7
7,1981,58.7,59,59,78.5,59.9,59,68.5,78.5,65.2,62.4,78.5,79.6,79.8,71,78.5,78.8,80.8,80.6,99,78.8,84.4,79.3,84.4,83.5,98.3,84.4,99.3,86.5,99,81,99,83.5,88.7,85.6,97.5,104,99,99,99.4,99.3,104,84.4,104,99.3,84.4,112,112,112
8,1982,32.5,32.5,32.6,44.6,45.2,58.6,53.8,58.9,57.1,45.5,68.1,59.1,72.5,58,68.3,59.1,72.3,72.5,67.4,72.5,68.3,68.1,68.1,70.6,75,72.5,72.6,60.7,60.1,75.2,75.2,72.2,75.2,75,68.3,75.2,75.2,75.2,75.2,74.2,75,75.2,75.2,75.2,75.2,74.2,75.2,72.2
9,1983,47.7,47.7,47.7,52,60.1,62.7,72.9,62.8,80.9,79.3,89.5,89.5,106.3,98.1,110.6,111.4,111.5,102.9,102.9,112.6,110.6,89.5,108.4,113,112.6,108.7,113,102.9,102.9,113,102.8,111.4,102.9,113,110.6,113,113,113,110.6,113,112.6,113,102.9,89.5,110.6,108.4,100.4,113
10,1984,41.8,54.7,42,60.5,66.2,66,74.5,82.3,81.6,75.5,89.8,69.4,76,79.4,85,92,95.3,97.5,78,97.9,98.6,97,96.3,100.9,101.6,100.2,104.3,104,106.1,107.7,96.9,107.6,109.4,110,109.7,125.6,115.3,93.2,109.7,116.5,132.7,116.5,109.7,130.5,125,112.7,120.2,133.7
