Year,mean
1975,29.86085559670375
1976,26.86496161888725
1977,22.85971918390749
1978,19.80511072319354
1979,28.05379838779571
1980,25.83815561772979
1981,31.47272727272727
1982,17.54849376479576
1983,32.62924420044012
1984,23.93391217225771
1985,22.5227953325248
1986,24.64692876164588
1987,29.69090909090909
1988,25.66218079351845
1989,29.71818181818182
1990,35.87689247286877
1991,28.42963712680384
1992,22.82493099015349
1993,31.16150145325608
1994,25.09788692177685
1995,27.8245285570783
1996,30.34017007122283
1997,23.87631373880892
1998,22.713322146327
1999,26.49358530151304
2000,19.70101583329942
2001,29.52995308760056
2002,24.75682255942305
2003,27.91913031976487
2004,35.51927963425472
2005,35.3718461876751
