Year,mean
2006,34.9576632492104
2007,22.31673881706007
2008,20.59304777908365
2009,21.37708998316909
2010,22.05818328797776
2011,28.1820286766217
2012,22.19670931955714
2013,29.2190817666543
2014,23.13657855008111
2015,26.81379048072531
2016,28.28971519768179
2017,20.49059173474198
2018,19.40271552766728
2019,26.99917039713779
2020,27.85506752874517
2021,28.47410487793535
2022,18.26686990990544
2023,30.6574129178265
2024,28.14422352287759
2025,16.19775862306425
2026,39.20613547601936
2027,26.14328097392892
2028,37.10234091577223
2029,25.1611065224898
2030,46.6152712096
2031,20.69276350173897
2032,39.58170647835229
2033,21.41904265925642
2034,41.75162976732506
2035,23.19440512036566
2036,24.15595134731239
2037,37.26759393479616
2038,27.09247127789438
2039,25.41610070163507
2040,29.87274217438556
2041,26.05590631250572
2042,22.01474063024409
2043,30.50314384375761
2044,50.50937913564012
2045,35.405514472909
2046,23.74458097656441
2047,26.00176420431393
2048,32.88835490299928
2049,35.93096418010447
2050,29.99876410006799
2051,24.26553732641837
2052,36.07060449359285
2053,29.40023466420723
2054,35.77985511409772
2055,28.75493224928622
2056,28.68565467719295
2057,23.30417379113506
2058,26.97964715515178
2059,27.64850073445718
2060,47.85834537502073
2061,24.53098904194913
2062,42.10072747547904
2063,32.44775845213042
2064,30.2090816610919
2065,25.13149159351375
2066,28.12881895160484
2067,38.4779140274323
2068,26.11989084692523
2069,35.79978765988815
2070,34.3183820600149
2071,37.38306395060803
2072,46.17658508396151
2073,31.59265071053301
2074,30.93256859842321
2075,38.32362442296214
2076,58.17034292158166
2077,47.47753358839321
2078,50.44830181238083
2079,31.01902836294197
2080,40.78819232906861
2081,23.92285636459586
2082,29.26920369449708
2083,27.98206045359879
2084,53.4527396280846
2085,32.37847611275021
2086,80.87370495441911
2087,39.02454593930161
2088,27.36405620818753
2089,51.33114919264315
2090,54.75034908918519
2091,27.96997111086234
2092,35.4858605421498
2093,29.45483044480765
2094,28.62288165855725
2095,26.69916262107641
2096,31.20443552492781
2097,37.23192728216269
2098,31.18727978787012
2099,30.81898001017898
2100,53.54208549849751
