Year,mean
2015,18.488495347223477
2016,29.226529398493863
2017,31.67066122193216
2018,20.88000923912964
2019,34.09583931095933
2020,23.059175928561448
2021,22.725431207365475
2022,30.26701922321648
2023,25.349046668718888
2024,33.54054871399898
2025,18.03661876615968
2026,28.10128272564151
2027,23.268240921434007
2028,28.37803117143826
2029,27.3189507561245
2030,17.212343203279456
2031,25.872497801441515
2032,21.871211128754798
2033,22.77435869833046
2034,22.187062388765444
2035,25.00096752716308
2036,23.00260417196282
2037,17.900644576720193
2038,28.72277874757303
2039,18.324225269038877
2040,23.967434276421248
2041,22.35725083259777
2042,29.44711430983356
2043,21.230988090231165
2044,23.29261510473753
2045,28.15426085389709
2046,28.3910239810155
2047,28.488260874890013
2048,18.46273309926072
2049,16.60941448295654
2050,37.12820466541542
2051,19.922663049203187
2052,25.228190610154957
2053,27.582096493861545
2054,22.953604400140566
2055,42.53460429936955
2056,29.92627255599424
2057,25.05219062306726
2058,26.020263142404204
2059,26.279604726762464
2060,37.880656142586176
2061,27.3092153599416
2062,22.151417413799606
2063,31.06282591712547
2064,28.662015379711004
2065,29.40907556500139
2066,40.78352341104308
2067,21.4359973808122
2068,20.101771223967354
2069,27.05510994878254
2070,39.08722440434896
2071,47.8524550860507
2072,30.38209559988181
2073,31.884273935730285
2074,33.9851409397641
2075,21.476050608008357
2076,22.1825394430146
2077,18.25662617938667
2078,30.495697862781164
2079,42.854250849912894
2080,44.78468749391421
2081,33.859255258387826
2082,30.29314269278892
2083,32.84534567857083
2084,42.80438066398382
2085,31.507211984415484
2086,25.861101554793347
2087,22.963561736213823
2088,38.8972926122281
2089,18.72998279815038
2090,23.874263546670097
2091,30.954678867932696
2092,33.84883143593071
2093,31.41937469196033
2094,29.954209505924368
2095,26.84032856198352
2096,41.308885561074426
2097,27.818764524317466
2098,31.668644092388057
2099,45.285444769593205
2100,27.620860765454765
